account_id,external_account_ref,account_name,website,industry,segment,region,account_status,lifecycle_stage,account_owner,csm_owner,support_tier,contract_start_date,renewal_date,billing_frequency,billing_currency,arr_gbp,seats_purchased,seats_used,latest_nps,open_leads_count,avg_lead_score,last_lead_activity_date,open_tickets_count,urgent_open_tickets_count,sla_breaches_90d,avg_csat_90d,mrr_3m_ago_gbp,mrr_current_gbp,usage_score_3m_ago,usage_score_current,overdue_amount_gbp,expansion_pipeline_gbp,contraction_risk_gbp,last_qbr_date,latest_note_date,note_sentiment_hint,recent_support_summary,recent_customer_note,recent_sales_note
ACC-014,EXT-1014,Harbor Health,harborhealth.example,Retail Analytics,Enterprise,EU,Active,Expansion,Brian Cole,Sofia Green,Priority,2025-06-06,2026-06-21,Quarterly,GBP,251773,549,466,58,1,95,2026-03-11,0,0,1,,20963.22,22034.56,49,58,0,26875,4136,2026-02-23,2026-02-26,Positive,Support interactions have been low-friction and mostly related to enablement rather than defects.,Customer reported strong usage within the initial team and asked about rollout to additional business units.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-015,EXT-1015,Pioneer Works,pioneerworks.example,Fintech Infrastructure,Enterprise,UK,Active,Customer,Alice Johnson,Ben Collins,Priority,2024-04-13,2026-07-23,Annual,GBP,349427,484,323,15,0,,,0,0,0,4.3,28875.78,28410.55,74,73,1447,9264,14877,2026-01-16,2026-03-14,Neutral,Recent service interactions were minimal and non-urgent.,Customer described the relationship as steady and did not raise any immediate issues or expansion requests.,Sales sees limited short-term change beyond standard account management.
ACC-016,EXT-1016,Silver Legal,silverlegal.example,Retail Analytics,Mid-Market,EU,Active,Expansion,Claire West,Sofia Green,Standard,2024-08-14,2026-09-28,Monthly,GBP,127993,172,148,56,1,70,2026-03-07,0,0,0,,10803.22,11737.02,62,72,0,21720,3854,2026-01-17,2026-03-03,Mixed,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-017,EXT-1017,Cedar Travel,cedartravel.example,Manufacturing SaaS,Mid-Market,US,Active,Customer,Alice Johnson,Sofia Green,Standard,2024-08-28,2026-04-27,Annual,GBP,136846,200,134,-35,1,,2026-03-05,7,3,5,3,11522.43,9800.22,86,56,10998,2146,32560,,2026-03-07,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-018,EXT-1018,Silver Capital,silvercapital.example,LegalTech,Mid-Market,UK,Active,Expansion,Daniel Young,Maya Patel,Standard,2025-02-11,2026-08-13,Annual,GBP,110482,99,81,27,1,76,2026-03-02,1,1,1,4.8,9126.86,9535.59,63,78,0,40927,1217,2025-11-26,2026-03-07,Positive,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-019,EXT-1019,BluePeak Systems,bluepeaksystems.example,Fintech Infrastructure,Enterprise,EU,Active,Customer,Farah Malik,Sara Khan,Standard,2024-01-27,2026-10-24,Annual,GBP,397975,575,406,,1,43,2026-02-28,3,3,2,,32600.56,30554.18,66,32,6342,5546,143994,2025-11-11,2026-03-11,Negative,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,Procurement has asked for a commercial discussion while internal users question current value received.,No immediate upsell path; focus appears to be retention and trust recovery.
ACC-020,EXT-1020,Luma Networks,lumanetworks.example,PropTech,Enterprise,UK,Active,Expansion,Alice Johnson,Sofia Green,Priority,2025-06-19,2026-09-29,Annual,GBP,377526,634,404,22,1,,2026-03-14,2,0,0,3.7,31611.15,30628.03,53,52,4777,16929,18991,2026-01-17,,,The account is functional but there are unresolved issues that could become larger if ignored.,,"Sales sees moderate opportunity, although the account still needs tighter execution before expansion is likely."
ACC-021,EXT-1021,Vertex Energy,vertexenergy.example,Logistics SaaS,Mid-Market,UK,Active,Expansion,Daniel Young,Tom Willis,Enterprise,2024-11-08,2026-11-09,Quarterly,GBP,82780,137,117,60,3,68,2026-03-08,2,0,1,4.8,7009.52,7825.16,66,85,0,14162,2886,2025-12-25,2026-03-12,Positive,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",Customer reported strong usage within the initial team and asked about rollout to additional business units.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-022,EXT-1022,Harbor Logistics,harborlogistics.example,HealthTech,SMB,UK,Active,Expansion,Claire West,Sara Khan,Standard,2025-05-15,2026-05-08,Quarterly,GBP,20612,35,28,,3,70,2026-02-15,1,1,0,,1742.41,1789.29,83,89,3255,3707,2488,2025-11-16,2026-02-26,Neutral,"Operational usage is solid overall, but some teams have raised intermittent reporting or configuration complaints.","Customer is open to expansion, though success depends on improving consistency for end users.","There may be upside here, but commercial timing depends on resolving current adoption concerns."
ACC-023,EXT-1023,Everfield Supply,everfieldsupply.example,Manufacturing SaaS,Mid-Market,US,Active,Customer,Alice Johnson,Sofia Green,Priority,2024-08-18,2026-10-01,Annual,GBP,129964,76,35,,0,,,6,4,3,2.9,10868.17,10096.42,63,44,16506,6797,55916,2026-01-17,2026-03-02,Negative,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,Procurement has asked for a commercial discussion while internal users question current value received.,Sales noted that the account may benchmark alternative vendors if current issues continue into renewal planning.
ACC-024,EXT-1024,Luma Systems,lumasystems.example,Manufacturing SaaS,Mid-Market,UK,Active,Renewal,Alice Johnson,Tom Willis,Priority,2025-08-03,2026-11-08,Annual,GBP,57936,108,78,-4,2,,2026-03-13,2,0,1,,4794.89,4592.1,63,73,4882,1204,2850,2025-11-11,2026-03-01,Mixed,"Operational usage is solid overall, but some teams have raised intermittent reporting or configuration complaints.",Recent check-in showed both positive sponsorship and frustration from operational users.,"Sales sees moderate opportunity, although the account still needs tighter execution before expansion is likely."
ACC-025,EXT-1025,BluePeak Supply,bluepeaksupply.example,PropTech,Mid-Market,UK,Active,Customer,Claire West,Maya Patel,Standard,2024-09-03,2026-10-21,Monthly,GBP,118955,76,32,,1,,2026-02-25,3,2,4,,9909.06,9477.57,76,42,3204,14733,17189,2026-01-09,2026-02-27,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,Customer stakeholders said confidence has dropped ahead of renewal and want proof that service levels will improve.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-026,EXT-1026,Apex Energy,apexenergy.example,LegalTech,Mid-Market,EU,Active,Expansion,Claire West,Sara Khan,Priority,2024-08-31,2026-06-02,Quarterly,GBP,135814,115,103,60,3,72,2026-02-17,2,1,0,4.1,11130.12,11851.15,60,81,0,35286,6650,2026-01-03,2026-03-05,Positive,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",Customer reported strong usage within the initial team and asked about rollout to additional business units.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-027,EXT-1027,Vertex Media,vertexmedia.example,HealthTech,Enterprise,US,Active,Customer,Claire West,Ben Collins,Standard,2024-05-16,2026-07-08,Monthly,GBP,402806,538,452,34,2,,2026-02-25,3,2,2,4.2,32904.02,34364.42,77,84,4639,51135,30293,2026-02-10,2026-03-07,Mixed,"Operational usage is solid overall, but some teams have raised intermittent reporting or configuration complaints.",Recent check-in showed both positive sponsorship and frustration from operational users.,Pipeline is present but not yet firm; relationship quality varies by stakeholder.
ACC-028,EXT-1028,Summit Retail,summitretail.example,Manufacturing SaaS,Mid-Market,UK,Active,Expansion,Claire West,Tom Willis,Priority,2024-01-16,2026-04-25,Annual,GBP,56895,218,145,12,0,,,1,1,3,3.6,4655.04,4596.53,81,90,4909,2034,630,2026-01-21,2026-03-01,Mixed,"Support feedback is mixed: no major outage, though recurring friction points are slowing broader adoption.","Leadership likes the product direction, but department-level adoption remains uneven across teams.","There may be upside here, but commercial timing depends on resolving current adoption concerns."
ACC-029,EXT-1029,Orbit People,orbitpeople.example,Travel Tech,Mid-Market,UK,Paused,Renewal,Farah Malik,Sofia Green,Priority,2025-11-17,2026-07-31,Annual,GBP,59447,70,49,,0,,,2,1,1,,4903.05,4929.19,66,72,1073,644,1621,2026-02-15,2026-03-05,Positive,Recent service interactions were minimal and non-urgent.,Routine check-in indicated the account is satisfied and operating normally.,No major commercial movement is currently expected.
ACC-030,EXT-1030,Apex Retail,apexretail.example,Manufacturing SaaS,Mid-Market,US,Active,Expansion,Brian Cole,Sofia Green,Standard,2024-03-03,2026-08-09,Quarterly,GBP,128957,79,58,58,3,86,2026-02-22,0,0,1,,10563.38,11295.01,75,93,0,12780,466,2025-12-27,2026-03-01,Positive,Recent tickets were configuration questions linked to broader product rollout plans.,Customer reported strong usage within the initial team and asked about rollout to additional business units.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-031,EXT-1031,Vector Capital,vectorcapital.example,HealthTech,Mid-Market,EU,Active,Customer,Daniel Young,Ben Collins,Priority,2024-12-20,2026-10-04,Quarterly,GBP,115715,175,150,43,1,63,2026-02-23,1,1,1,,9754.48,9840.69,61,64,134,2700,774,2026-02-14,2026-02-27,Positive,Low ticket volume and straightforward resolutions suggest the account is stable at present.,Routine check-in indicated the account is satisfied and operating normally.,The account does not appear to require immediate strategic action.
ACC-032,EXT-1032,Oakline Legal,oaklinelegal.example,Retail Analytics,SMB,EU,Active,Renewal,Claire West,Tom Willis,Enterprise,2024-02-17,2026-10-24,Annual,GBP,37687,34,24,,0,,,2,0,2,4.2,3101.89,3287.99,83,75,1269,1385,2799,2026-01-13,,,The account is functional but there are unresolved issues that could become larger if ignored.,,Pipeline is present but not yet firm; relationship quality varies by stakeholder.
ACC-033,EXT-1033,Everfield Networks,everfieldnetworks.example,Retail Analytics,SMB,US,Active,Expansion,Brian Cole,Sofia Green,Enterprise,2025-04-07,2026-07-27,Annual,GBP,22848,41,32,30,5,82,2026-02-19,1,1,1,4.5,1897.81,1943.94,55,70,0,3462,1238,2025-12-08,2026-03-06,Positive,Recent tickets were configuration questions linked to broader product rollout plans.,Customer reported strong usage within the initial team and asked about rollout to additional business units.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-034,EXT-1034,Pioneer Networks,pioneernetworks.example,EdTech,Mid-Market,UK,Active,Renewal,Alice Johnson,Sofia Green,Standard,2024-12-14,2026-04-11,Annual,GBP,107340,175,125,,0,,,8,3,2,2,9094.34,8101.86,69,39,15616,2273,41477,,2026-03-14,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,Customer stakeholders said confidence has dropped ahead of renewal and want proof that service levels will improve.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-035,EXT-1035,Vertex Travel,vertextravel.example,Logistics SaaS,Mid-Market,US,Active,Customer,Claire West,Sofia Green,Standard,2024-07-13,2026-09-04,Monthly,GBP,133748,88,40,-35,0,,,4,1,5,,11347.81,10231.33,84,62,,8316,49690,2025-12-18,2026-03-15,Negative,Customer has escalated repeated product reliability concerns and asked for clearer remediation timelines.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-036,EXT-1036,Harbor Retail,harborretail.example,Fintech Infrastructure,Enterprise,US,Active,Customer,Alice Johnson,Ben Collins,Priority,2024-08-18,2026-09-30,Quarterly,GBP,436268,1030,548,7,1,54,2026-02-18,3,2,3,4.3,35996.93,37091.05,54,58,1565,46226,27756,2025-12-25,2026-03-10,Mixed,The account is functional but there are unresolved issues that could become larger if ignored.,"Customer is open to expansion, though success depends on improving consistency for end users.","Sales sees moderate opportunity, although the account still needs tighter execution before expansion is likely."
ACC-037,EXT-1037,Meridian Manufacturing,meridianmanufacturing.example,Manufacturing SaaS,Enterprise,US,Active,Customer,Brian Cole,Sara Khan,Priority,2025-06-05,2026-08-22,Quarterly,GBP,372560,796,623,28,3,82,2026-03-12,0,0,1,4.5,31665.3,32969.38,58,75,0,133544,1879,2026-01-18,2026-03-05,Positive,"Service experience appears stable, with no significant operational blockers called out in recent interactions.",Recent review meeting highlighted measurable internal value and interest in expanding scope.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-038,EXT-1038,Redbridge People,redbridgepeople.example,HealthTech,Mid-Market,US,Active,Customer,Brian Cole,Maya Patel,Standard,2024-01-11,2026-07-29,Annual,GBP,100181,214,116,-10,1,,2026-03-01,3,3,2,2.6,8486.51,7108.85,80,58,14697,4264,39264,2026-01-08,2026-03-04,Negative,Support volume increased over the last month and response quality was raised in the latest check-in.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,No immediate upsell path; focus appears to be retention and trust recovery.
ACC-039,EXT-1039,Pioneer Analytics,pioneeranalytics.example,HR Software,Mid-Market,EU,Active,Customer,Alice Johnson,Tom Willis,Priority,2024-12-01,2026-08-13,Annual,GBP,89315,104,54,,3,,2026-03-09,1,1,3,4.3,7450.57,7691.22,65,70,6744,11205,2101,2026-01-27,2026-03-12,Mixed,"Support feedback is mixed: no major outage, though recurring friction points are slowing broader adoption.",Recent check-in showed both positive sponsorship and frustration from operational users.,"There may be upside here, but commercial timing depends on resolving current adoption concerns."
ACC-040,EXT-1040,Silver Logistics,silverlogistics.example,PropTech,Enterprise,EU,Active,Renewal,Brian Cole,Sofia Green,Standard,2025-06-24,2026-06-26,Annual,GBP,421634,348,154,5,0,,,7,1,5,,34674.06,31680.71,89,69,16778,9914,130667,2025-11-26,2026-03-08,Negative,"Multiple recent support issues remain unresolved, including workflow-impacting defects reported by operational users.",Customer stakeholders said confidence has dropped ahead of renewal and want proof that service levels will improve.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-041,EXT-1041,Vector Logistics,vectorlogistics.example,HealthTech,Mid-Market,EU,Active,Expansion,Daniel Young,Ben Collins,Standard,2025-10-06,2026-05-15,Annual,GBP,82096,176,152,38,4,72,2026-02-28,1,0,1,4.2,6738.04,7192.45,54,72,0,11183,793,2025-12-30,2026-03-02,Positive,Recent tickets were configuration questions linked to broader product rollout plans.,The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-042,EXT-1042,Silver Systems,silversystems.example,Manufacturing SaaS,Enterprise,EU,Active,Renewal,Brian Cole,Sofia Green,Priority,2024-10-30,2026-08-12,Annual,GBP,410765,1147,520,3,1,,2026-03-09,3,2,2,3.2,34591.69,30263.94,63,44,8563,838,92103,2025-12-28,2026-03-08,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-043,EXT-1043,Summit Media,summitmedia.example,Logistics SaaS,Mid-Market,EU,Active,Customer,Brian Cole,Maya Patel,Standard,2024-03-30,2026-08-13,Annual,GBP,123116,96,77,,0,,,1,1,0,4.3,10298.13,10302.65,58,59,1043,8025,5805,2026-01-04,2026-02-27,Positive,Low ticket volume and straightforward resolutions suggest the account is stable at present.,Customer described the relationship as steady and did not raise any immediate issues or expansion requests.,Sales sees limited short-term change beyond standard account management.
ACC-044,EXT-1044,Silver Travel,silvertravel.example,HealthTech,Enterprise,EU,Active,Customer,Farah Malik,Sara Khan,Standard,2024-03-12,2026-10-20,Annual,GBP,401893,824,619,27,2,81,2026-03-11,2,1,0,4.7,33516.11,36335.92,49,60,0,118950,15675,2025-11-09,2026-03-03,Mixed,Recent tickets were configuration questions linked to broader product rollout plans.,The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,Sales sees a credible expansion path tied to additional users and cross-functional adoption.
ACC-045,EXT-1045,BrightForge Systems,brightforgesystems.example,EdTech,Enterprise,EU,Active,Renewal,Farah Malik,Sara Khan,Standard,2025-05-08,2026-09-28,Monthly,GBP,306035,901,626,11,1,43,2026-03-05,6,3,2,2.3,25967.39,21601.09,73,38,17138,7247,116582,2025-11-26,2026-02-28,Mixed,Support volume increased over the last month and response quality was raised in the latest check-in.,The main sponsor raised concern about low adoption in key teams and requested an executive review.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-046,EXT-1046,Everfield Schools,everfieldschools.example,PropTech,SMB,EU,Active,Customer,Brian Cole,Sofia Green,Standard,2025-01-02,2026-10-05,Annual,GBP,26789,18,14,30,3,77,2026-02-22,2,0,0,4.7,2208.5,2453.21,48,61,0,2754,358,2025-12-26,2026-03-12,Positive,Support interactions have been low-friction and mostly related to enablement rather than defects.,Customer reported strong usage within the initial team and asked about rollout to additional business units.,"A larger commercial conversation is active, with strong sponsor alignment and healthy engagement."
ACC-047,EXT-1047,Harbor Schools,harborschools.example,HealthTech,Mid-Market,UK,Active,Expansion,Claire West,Ben Collins,Priority,2024-07-19,2026-05-09,Annual,GBP,87298,199,157,47,3,93,2026-03-01,1,0,0,4.6,7315.2,7760.14,54,65,0,20997,4221,2025-11-08,2026-02-27,Positive,Support interactions have been low-friction and mostly related to enablement rather than defects.,The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-048,EXT-1048,Vector Supply,vectorsupply.example,Fintech Infrastructure,SMB,US,Paused,Renewal,Daniel Young,Tom Willis,Enterprise,2024-01-23,2026-05-05,Quarterly,GBP,12749,59,45,,0,,,1,0,1,4.7,1058.84,1061.97,70,70,964,775,550,2025-12-27,2026-03-06,Neutral,No material support concerns surfaced in recent activity; usage appears steady and routine.,"Account sentiment is neutral to positive, with no urgent leadership attention requested.",The account does not appear to require immediate strategic action.
ACC-049,EXT-1049,Redbridge Legal,redbridgelegal.example,Logistics SaaS,SMB,EU,Active,Expansion,Alice Johnson,Ben Collins,Enterprise,2025-08-09,2026-09-26,Monthly,GBP,21820,69,56,50,5,82,2026-03-13,2,1,0,4.4,1841.35,2047.34,73,82,0,6482,149,,2026-02-28,Positive,Recent tickets were configuration questions linked to broader product rollout plans.,The economic buyer referenced a broader deployment if implementation support can be confirmed next quarter.,Pipeline looks positive if the team can keep momentum through the next review cycle.
ACC-050,EXT-1050,Atlas Works,atlasworks.example,EdTech,Enterprise,UK,Active,Renewal,Daniel Young,Sofia Green,Priority,2025-09-15,2026-09-26,Annual,GBP,350529,564,326,,1,,2026-03-11,1,1,3,3.8,29248.06,30382.98,72,65,2027,37197,26190,2025-12-02,,,"Support feedback is mixed: no major outage, though recurring friction points are slowing broader adoption.",,Pipeline is present but not yet firm; relationship quality varies by stakeholder.
ACC-051,EXT-1051,Atlas Systems,atlassystems.example,Fintech Infrastructure,Enterprise,UK,Paused,Customer,Brian Cole,Maya Patel,Standard,2024-06-02,2026-05-30,Monthly,GBP,173192,419,286,30,1,,2026-03-11,1,1,1,,14505.4,14442.04,80,85,1015,768,5642,2025-11-20,2026-03-14,Positive,Recent service interactions were minimal and non-urgent.,Routine check-in indicated the account is satisfied and operating normally.,The account does not appear to require immediate strategic action.
ACC-052,EXT-1052,Vertex People,vertexpeople.example,EdTech,Mid-Market,UK,Active,Renewal,Brian Cole,Sara Khan,Enterprise,2025-03-20,2026-05-27,Annual,GBP,123044,159,61,,0,,,8,1,1,,10245.22,9737.27,89,60,7455,4967,13308,2026-01-13,2026-03-13,Negative,"Multiple recent support issues remain unresolved, including workflow-impacting defects reported by operational users.",Procurement has asked for a commercial discussion while internal users question current value received.,Commercial conversation is likely to be defensive rather than expansion-oriented unless service confidence improves.
ACC-053,EXT-1053,Cedar Clinic,cedarclinic.example,Fintech Infrastructure,Enterprise,US,Paused,Customer,Farah Malik,Tom Willis,Priority,2024-07-15,2026-08-02,Quarterly,GBP,287133,1083,766,24,0,,,1,0,0,4.2,23994.55,23628.48,65,66,1127,11061,4216,2026-02-12,2026-02-28,Positive,Recent service interactions were minimal and non-urgent.,"Account sentiment is neutral to positive, with no urgent leadership attention requested.",The account does not appear to require immediate strategic action.
ACC-054,EXT-1054,BrightForge Retail,brightforgeretail.example,Retail Analytics,Enterprise,US,Active,Renewal,Farah Malik,Maya Patel,Priority,2025-07-19,2026-11-06,Annual,GBP,175435,602,356,,0,,,1,0,3,2.8,14640.48,14265.72,59,49,4114,30153,24621,2025-12-06,2026-03-08,Positive,"Support feedback is mixed: no major outage, though recurring friction points are slowing broader adoption.","Leadership likes the product direction, but department-level adoption remains uneven across teams.","There may be upside here, but commercial timing depends on resolving current adoption concerns."
ACC-055,EXT-1055,Orbit Capital,orbitcapital.example,EdTech,Mid-Market,US,Paused,Customer,Daniel Young,Maya Patel,Standard,2024-02-10,2026-10-16,Quarterly,GBP,79603,80,49,10,0,,,2,1,0,,6561.88,6719.87,71,74,,4643,1947,2026-02-20,2026-03-13,Positive,No material support concerns surfaced in recent activity; usage appears steady and routine.,Customer described the relationship as steady and did not raise any immediate issues or expansion requests.,The account does not appear to require immediate strategic action.
